"ID";"Populatie";"KenmerkenVanHuishoudens";"RegioS";"Perioden";"ParticuliereHuishoudens_1";"ParticuliereHuishoudensRelatief_2";"GemiddeldGestandaardiseerdInkomen_3";"MediaanGestandaardiseerdInkomen_4";"GemiddeldBesteedbaarInkomen_5";"MediaanBesteedbaarInkomen_6";"GestandaardiseerdInkomen1e10Groep_7";"GestandaardiseerdInkomen2e10Groep_8";"GestandaardiseerdInkomen3e10Groep_9";"GestandaardiseerdInkomen4e10Groep_10";"GestandaardiseerdInkomen5e10Groep_11";"GestandaardiseerdInkomen6e10Groep_12";"GestandaardiseerdInkomen7e10Groep_13";"GestandaardiseerdInkomen8e10Groep_14";"GestandaardiseerdInkomen9e10Groep_15";"GestandaardiseerdInkomen10e10Groep_16"
"67001";"1050010";"A025359";"PV26  ";"2022JJ00";"   157.1";"      26";"    34.2";"    29.5";"    42.7";"    35.4";"       5";"      11";"      16";"      13";"      12";"      10";"      10";"       9";"       7";"       7"
"67002";"1050010";"A025359";"PV26  ";"2023JJ00";"   160.7";"      26";"    39.4";"    31.9";"    49.5";"    38.1";"       5";"      11";"      16";"      13";"      12";"      10";"      10";"       9";"       7";"       7"
"67003";"1050010";"A025359";"PV26  ";"2024JJ00";"   164.4";"      26";"    41.0";"    34.1";"    51.4";"    40.7";"       5";"      12";"      15";"      13";"      11";"      11";"      10";"       8";"       7";"       7"
"67014";"1050010";"A025359";"PV27  ";"2021JJ00";"   355.7";"      26";"    30.9";"    26.4";"    38.2";"    31.3";"       6";"      14";"      17";"      13";"      11";"      10";"       9";"       8";"       6";"       7"
"67015";"1050010";"A025359";"PV27  ";"2022JJ00";"   363.0";"      26";"    32.7";"    27.8";"    40.4";"    32.8";"       6";"      14";"      17";"      13";"      11";"      10";"       9";"       7";"       6";"       6"
"67016";"1050010";"A025359";"PV27  ";"2023JJ00";"   370.6";"      26";"    38.4";"    30.1";"    47.7";"    35.5";"       7";"      14";"      17";"      13";"      11";"      10";"       9";"       7";"       6";"       7"
"67017";"1050010";"A025359";"PV27  ";"2024JJ00";"   377.5";"      27";"    40.0";"    32.1";"    49.6";"    37.8";"       7";"      15";"      16";"      13";"      11";"      10";"       9";"       7";"       6";"       6"
"67028";"1050010";"A025359";"PV28  ";"2021JJ00";"   455.6";"      27";"    30.1";"    25.7";"    37.5";"    30.7";"       5";"      15";"      19";"      13";"      11";"       9";"       8";"       7";"       6";"       6"
"67029";"1050010";"A025359";"PV28  ";"2022JJ00";"   464.2";"      27";"    32.0";"    27.1";"    39.8";"    32.2";"       6";"      15";"      19";"      13";"      11";"       9";"       8";"       7";"       6";"       6"
"67030";"1050010";"A025359";"PV28  ";"2023JJ00";"   473.1";"      27";"    37.2";"    29.5";"    46.6";"    35.1";"       6";"      15";"      18";"      13";"      11";"       9";"       8";"       7";"       6";"       6"
