"ID";"Inkomensbegrippen";"Inkomensklassen";"KenmerkenVanHuishoudens";"Perioden";"ParticuliereHuishoudens_1";"PersonenPerHuishouden_2";"PersonenMetInkomenPerHuishouden_3";"GemiddeldInkomen_4";"MediaanInkomen_5"
"109";"A043964";"T001226";"1050200";"2022JJ00";"281.6";"2.5";"2.3";"64.8";"56.9"
"110";"A043964";"T001226";"1050200";"2023JJ00";"291";"2.5";"2.3";"73";"62.1"
"111";"A043964";"T001226";"1050200";"2024JJ00";"297.8";"2.5";"2.3";"77.3";"66.2"
"119";"A043964";"T001226";"1050055";"2018JJ00";"4157.1";"2.9";"2.2";"76.1";"69.3"
"120";"A043964";"T001226";"1050055";"2019JJ00";"4174.2";"2.9";"2.2";"82.5";"73.2"
"121";"A043964";"T001226";"1050055";"2020JJ00";"4196.8";"2.9";"2.2";"82.7";"75.1"
"122";"A043964";"T001226";"1050055";"2021JJ00";"4219.8";"2.9";"2.3";"86.1";"78.1"
"123";"A043964";"T001226";"1050055";"2022JJ00";"4237.1";"2.9";"2.3";"93.3";"84.8"
"124";"A043964";"T001226";"1050055";"2023JJ00";"4257.9";"2.9";"2.3";"105.8";"90.8"
"125";"A043964";"T001226";"1050055";"2024JJ00";"4271.8";"2.9";"2.3";"110.5";"96.3"
"133";"A043964";"T001226";"1017780";"2018JJ00";"2191";"2";"1.9";"51";"29.9"
"134";"A043964";"T001226";"1017780";"2019JJ00";"2207.7";"2";"1.9";"55.7";"32.7"
"135";"A043964";"T001226";"1017780";"2020JJ00";"2227.5";"2";"1.9";"55.1";"32.5"
"136";"A043964";"T001226";"1017780";"2021JJ00";"2255.4";"2";"1.9";"57.4";"34.6"
"137";"A043964";"T001226";"1017780";"2022JJ00";"2273.2";"2";"1.9";"62.2";"38.4"
"138";"A043964";"T001226";"1017780";"2023JJ00";"2280.7";"2";"1.9";"72.4";"41.5"
"139";"A043964";"T001226";"1017780";"2024JJ00";"2301.7";"2";"1.9";"76.1";"45.8"
"147";"A043964";"T001226";"1017790";"2018JJ00";"1253.2";"2";"1.9";"80.5";"73.4"
"148";"A043964";"T001226";"1017790";"2019JJ00";"1265.9";"2";"1.9";"86.7";"77.3"
"149";"A043964";"T001226";"1017790";"2020JJ00";"1286.5";"2";"1.9";"86.6";"79"
"150";"A043964";"T001226";"1017790";"2021JJ00";"1298.8";"2";"1.9";"90.6";"82.2"
"151";"A043964";"T001226";"1017790";"2022JJ00";"1300.1";"2";"1.9";"98.4";"89.2"
"152";"A043964";"T001226";"1017790";"2023JJ00";"1309.9";"2";"1.9";"110";"95"
"153";"A043964";"T001226";"1017790";"2024JJ00";"1333.1";"2";"1.9";"115.4";"100.7"
"161";"A043964";"T001226";"1017800";"2018JJ00";"937.7";"2";"1.9";"11.4";"5.9"
"162";"A043964";"T001226";"1017800";"2019JJ00";"941.8";"2";"1.9";"13.9";"6.2"
"163";"A043964";"T001226";"1017800";"2020JJ00";"941";"2";"2";"11.9";"6.3"
"164";"A043964";"T001226";"1017800";"2021JJ00";"956.6";"2";"2";"12.3";"6.6"
"165";"A043964";"T001226";"1017800";"2022JJ00";"973.1";"2";"2";"13.8";"6.7"
"166";"A043964";"T001226";"1017800";"2023JJ00";"970.8";"2";"2";"21.6";"7"
"167";"A043964";"T001226";"1017800";"2024JJ00";"968.6";"2";"2";"21.9";"7.6"
"175";"A043964";"T001226";"1016090";"2018JJ00";"1966.2";"3.9";"2.6";"104.1";"92.5"
"176";"A043964";"T001226";"1016090";"2019JJ00";"1966.4";"3.9";"2.6";"112.6";"97.6"
"177";"A043964";"T001226";"1016090";"2020JJ00";"1969.3";"3.9";"2.6";"113.9";"101"
"178";"A043964";"T001226";"1016090";"2021JJ00";"1964.3";"3.9";"2.6";"119.1";"105.4"
"179";"A043964";"T001226";"1016090";"2022JJ00";"1963.9";"3.9";"2.7";"129.3";"114.3"
"180";"A043964";"T001226";"1016090";"2023JJ00";"1977.2";"3.9";"2.7";"144.4";"122.7"
"181";"A043964";"T001226";"1016090";"2024JJ00";"1970.1";"3.8";"2.7";"150.6";"130.4"
"189";"A043964";"T001226";"1017810";"2018JJ00";"1261.7";"3.9";"2.1";"100";"87.7"
"190";"A043964";"T001226";"1017810";"2019JJ00";"1245.2";"3.9";"2.2";"107.4";"92.2"
"191";"A043964";"T001226";"1017810";"2020JJ00";"1234.9";"3.9";"2.1";"108.5";"95.3"
"192";"A043964";"T001226";"1017810";"2021JJ00";"1224.3";"3.9";"2.2";"113.7";"99.3"
"193";"A043964";"T001226";"1017810";"2022JJ00";"1222.2";"3.9";"2.2";"123.1";"107.5"
"194";"A043964";"T001226";"1017810";"2023JJ00";"1222.5";"3.9";"2.2";"135.9";"115"
"195";"A043964";"T001226";"1017810";"2024JJ00";"1223.1";"3.9";"2.2";"142.1";"122.1"
"203";"A043964";"T001226";"1017880";"2018JJ00";"704.5";"3.8";"3.4";"111.3";"102.9"
"204";"A043964";"T001226";"1017880";"2019JJ00";"721.2";"3.8";"3.4";"121.7";"109.1"
"205";"A043964";"T001226";"1017880";"2020JJ00";"734.4";"3.8";"3.4";"123.1";"112.9"
"206";"A043964";"T001226";"1017880";"2021JJ00";"740.1";"3.8";"3.4";"127.9";"117.6"
"207";"A043964";"T001226";"1017880";"2022JJ00";"741.7";"3.8";"3.4";"139.5";"127.8"
"208";"A043964";"T001226";"1017880";"2023JJ00";"754.6";"3.8";"3.5";"158.3";"137.8"
"209";"A043964";"T001226";"1017880";"2024JJ00";"747";"3.8";"3.5";"164.6";"146.7"
"217";"A043964";"T001226";"1050220";"2018JJ00";"148.5";"3.8";"3";"79.7";"68.7"
"218";"A043964";"T001226";"1050220";"2019JJ00";"148.6";"3.8";"3";"86.4";"73.1"
"219";"A043964";"T001226";"1050220";"2020JJ00";"149.8";"3.8";"3";"86.3";"74.7"
"220";"A043964";"T001226";"1050220";"2021JJ00";"151.4";"3.8";"3";"91.9";"78.5"
"221";"A043964";"T001226";"1050220";"2022JJ00";"150";"3.8";"3";"99.9";"85.9"
"222";"A043964";"T001226";"1050220";"2023JJ00";"153.9";"3.8";"3";"111.7";"92.3"
"223";"A043964";"T001226";"1050220";"2024JJ00";"162";"3.8";"3";"116.5";"96.8"
"231";"A043964";"T001226";"A043959";"2018JJ00";"5029.2";"2.4";"1.9";"63.1";"51.2"
"232";"A043964";"T001226";"A043959";"2019JJ00";"5052.7";"2.4";"1.9";"68.3";"53.9"
"233";"A043964";"T001226";"A043959";"2020JJ00";"5058.2";"2.4";"1.9";"68.1";"54.5"
"234";"A043964";"T001226";"A043959";"2021JJ00";"5076.7";"2.3";"1.9";"70.7";"56.4"
"235";"A043964";"T001226";"A043959";"2022JJ00";"5110.6";"2.3";"1.9";"76.2";"60.6"
